periodo;regiao;local;rede;ensino;serie;resultado;rendimento
2010;Sudeste;Urbana;Estadual;Fundamental;4s;Aprovado;94,2
2010;Sudeste;Urbana;Federal;Fundamental;4s;Aprovado;95,7
2010;Sudeste;Urbana;Municipal;Fundamental;4s;Aprovado;92
2010;Sudeste;Urbana;Particular;Fundamental;4s;Aprovado;98
2010;Sudeste;Urbana;Publico;Fundamental;4s;Aprovado;92,7
2010;Sudeste;Urbana;Total;Fundamental;4s;Aprovado;93,5
2010;Sul;Rural;Estadual;Fundamental;4s;Aprovado;90,1
2010;Sul;Rural;Federal;Fundamental;4s;Aprovado;
2010;Sul;Rural;Municipal;Fundamental;4s;Aprovado;93,5
2010;Sul;Rural;Particular;Fundamental;4s;Aprovado;92
2010;Sul;Rural;Publico;Fundamental;4s;Aprovado;93
2010;Sul;Rural;Total;Fundamental;4s;Aprovado;93
2010;Sul;Total;Estadual;Fundamental;4s;Aprovado;89,3
2010;Sul;Total;Federal;Fundamental;4s;Aprovado;94,1
2010;Sul;Total;Municipal;Fundamental;4s;Aprovado;93,6
2010;Sul;Total;Particular;Fundamental;4s;Aprovado;98,4
2010;Sul;Total;Publico;Fundamental;4s;Aprovado;92,7
2010;Sul;Total;Total;Fundamental;4s;Aprovado;93,3
2010;Sul;Urbana;Estadual;Fundamental;4s;Aprovado;89,2
2010;Sul;Urbana;Federal;Fundamental;4s;Aprovado;94,1
2010;Sul;Urbana;Municipal;Fundamental;4s;Aprovado;93,6
2010;Sul;Urbana;Particular;Fundamental;4s;Aprovado;98,4
2010;Sul;Urbana;Publico;Fundamental;4s;Aprovado;92,7
2010;Sul;Urbana;Total;Fundamental;4s;Aprovado;93,4
2010;Centro_Oeste;Rural;Estadual;Fundamental;4s;Aprovado;93,9
2010;Centro_Oeste;Rural;Federal;Fundamental;4s;Aprovado;
2010;Centro_Oeste;Rural;Municipal;Fundamental;4s;Aprovado;88,5
2010;Centro_Oeste;Rural;Particular;Fundamental;4s;Aprovado;92,5
2010;Centro_Oeste;Rural;Publico;Fundamental;4s;Aprovado;89,9
2010;Centro_Oeste;Rural;Total;Fundamental;4s;Aprovado;90
2010;Centro_Oeste;Total;Estadual;Fundamental;4s;Aprovado;93
2010;Centro_Oeste;Total;Federal;Fundamental;4s;Aprovado;96,6
2010;Centro_Oeste;Total;Municipal;Fundamental;4s;Aprovado;91,3
2010;Centro_Oeste;Total;Particular;Fundamental;4s;Aprovado;98,4
2010;Centro_Oeste;Total;Publico;Fundamental;4s;Aprovado;92
2010;Centro_Oeste;Total;Total;Fundamental;4s;Aprovado;92,9
2010;Centro_Oeste;Urbana;Estadual;Fundamental;4s;Aprovado;92,9
2010;Centro_Oeste;Urbana;Federal;Fundamental;4s;Aprovado;96,6
2010;Centro_Oeste;Urbana;Municipal;Fundamental;4s;Aprovado;91,7
2010;Centro_Oeste;Urbana;Particular;Fundamental;4s;Aprovado;98,4
2010;Centro_Oeste;Urbana;Publico;Fundamental;4s;Aprovado;92,2
2010;Centro_Oeste;Urbana;Total;Fundamental;4s;Aprovado;93,2
2010;Norte;Rural;Estadual;Fundamental;5s;Aprovado;80,5
2010;Norte;Rural;Federal;Fundamental;5s;Aprovado;
2010;Norte;Rural;Municipal;Fundamental;5s;Aprovado;75,4
2010;Norte;Rural;Particular;Fundamental;5s;Aprovado;89,4
2010;Norte;Rural;Publico;Fundamental;5s;Aprovado;76,3
2010;Norte;Rural;Total;Fundamental;5s;Aprovado;76,4
2010;Norte;Total;Estadual;Fundamental;5s;Aprovado;76,3
2010;Norte;Total;Federal;Fundamental;5s;Aprovado;89,7
2010;Norte;Total;Municipal;Fundamental;5s;Aprovado;75,3
2010;Norte;Total;Particular;Fundamental;5s;Aprovado;95,7
2010;Norte;Total;Publico;Fundamental;5s;Aprovado;75,8
2010;Norte;Total;Total;Fundamental;5s;Aprovado;76,8
2010;Norte;Urbana;Estadual;Fundamental;5s;Aprovado;75,9
2010;Norte;Urbana;Federal;Fundamental;5s;Aprovado;89,7
2010;Norte;Urbana;Municipal;Fundamental;5s;Aprovado;75,2
2010;Norte;Urbana;Particular;Fundamental;5s;Aprovado;95,8
2010;Norte;Urbana;Publico;Fundamental;5s;Aprovado;75,6
2010;Norte;Urbana;Total;Fundamental;5s;Aprovado;77
2010;Nordeste;Rural;Estadual;Fundamental;5s;Aprovado;70,8
2010;Nordeste;Rural;Federal;Fundamental;5s;Aprovado;90
2010;Nordeste;Rural;Municipal;Fundamental;5s;Aprovado;71,3
2010;Nordeste;Rural;Particular;Fundamental;5s;Aprovado;89,1
2010;Nordeste;Rural;Publico;Fundamental;5s;Aprovado;71,3
2010;Nordeste;Rural;Total;Fundamental;5s;Aprovado;71,4
2010;Nordeste;Total;Estadual;Fundamental;5s;Aprovado;65,1
2010;Nordeste;Total;Federal;Fundamental;5s;Aprovado;87
2010;Nordeste;Total;Municipal;Fundamental;5s;Aprovado;69,4
2010;Nordeste;Total;Particular;Fundamental;5s;Aprovado;93,8
2010;Nordeste;Total;Publico;Fundamental;5s;Aprovado;68,1
2010;Nordeste;Total;Total;Fundamental;5s;Aprovado;70,5
